Country,Sex_Males,Sex_Females,Labour_Males,Labor_Females,Organ_Males,Organ_Females,Other_Males,Other_Females
Bosnia and Her.,0,20,3,10,0,0,0,0
Bulgaria,11,398,13,3,1,1,5,23
Croatia,0,7,4,0,0,0,0,0
Czechia,0,25,3,0,0,0,0,1
Estonia,0,1,1,0,0,0,0,1
Hungary,0,48,2,0,0,0,0,0
Latvia,0,0,8,4,0,0,0,22
Lithuania,0,10,3,1,0,0,0,0
Macedonia,0,3,1,0,0,0,0,4
Montenegro,0,9,0,1,0,0,0,0
Serbia,0,15,98,1,0,0,3,8
Slovakia,0,13,9,4,0,0,4,12
Slovenia,4,0,1,0,0,0,0,2
Belgium,5,38,74,12,0,0,5,4
Denmark,0,13,1,2,0,0,7,1
Finland,2,30,15,5,0,0,1,0
Germany,26,531,22,4,0,0,0,0
Ireland,6,26,4,3,0,0,4,2
Malta,0,0,0,0,0,0,0,0
Netherlands,41,904,99,84,0,0,33,281
Norway,1,93,39,18,0,0,1,4
Portugal,0,12,12,6,0,0,2,1
Sweden,0,17,0,0,0,0,0,0
Turkey,0,43,0,7,0,0,0,0
United Kingdom,10,245,325,148,0,1,0,0
Armenia,0,6,2,0,4,2,0,0
Azerbaijan,0,51,3,0,0,0,0,0
Belarus,2,79,16,0,0,0,0,0
Moldova,0,118,61,26,2,0,24,33
Russia,2,282,44,76,0,0,0,0
Tajikistan,0,8,2,1,5,3,0,4
Ukraine,0,52,525,326,0,0,0,0
Uzbekistan,0,329,774,55,0,0,28,22
Australia,0,11,4,12,0,0,0,3
Japan,0,14,0,7,0,0,0,3
Mongolia,0,2,0,0,0,0,0,0
Myanmar,0,41,125,21,0,0,0,122
Philippines,92,860,50,81,0,0,0,0
Taiwan,0,121,57,198,0,0,0,0
Argentina,1,152,138,53,0,0,0,0
Chile,0,1,1,0,0,0,0,0
Colombia,1,32,16,19,0,0,0,4
Ecuador,1,86,0,0,0,0,23,16
Paraguay,0,61,16,12,0,0,0,0
Uruguay,0,108,0,0,0,0,0,0
Peru,0,44,0,0,0,0,0,0
Venezuela,1,2,9,2,0,0,1,2
Barbados,0,10,0,0,0,0,0,0
Costa Rica,0,3,0,0,0,0,0,1
El Salvador,2,78,1,1,1,0,0,0
Jamaica,1,3,0,1,0,0,0,0
Panama,0,2,8,2,0,0,0,0
Cuba,0,14,0,0,0,0,0,0
Dominican Republic,1,38,0,1,0,0,19,6
Trinidad and Tobago,0,3,1,1,0,0,0,0
Canada,0,97,10,4,0,0,0,0
Mexico,8,90,13,108,0,0,0,0
United States,51,1699,670,589,0,0,29,166
Guinea,0,12,0,1,0,0,0,1
Nigeria,1,174,85,150,0,0,26,85
Liberia,0,6,0,0,0,0,0,0
Mauritius,0,7,0,0,0,0,2,0
Tanzania,0,0,9,0,0,0,0,0
Lesotho,0,0,2,2,0,0,0,2
Bahrain,0,10,60,9,0,0,0,0
Algeria,0,1,0,0,0,0,0,0
Egypt,1,33,0,0,29,2,47,4
Israel,0,41,27,0,0,0,0,0
Oman,3,3,0,0,0,0,0,0
United Arab Emirates,0,75,0,0,0,0,0,0
Kuwait,0,1,0,0,0,0,0,6
